WallIDX	TGTConc	PrjFlux	EroFlux_w_by_d	EroFluxPartial_w_by_d
0	0	13.9803	0	0
1	0	9.01952	0	0
2	0	6.21475	0	0
3	0	6.35323	0	0
4	0	9.299	0	0
5	0	13.6615	0	0
6	0	16.7597	0	0
7	0	17.1124	0	0
8	0	15.4448	0	0
9	0	10.6219	0	0
10	0	5.75396	0	0
11	0	3.00571	0	0
12	0	2.98799	0	0
13	0	5.30153	0	0
14	0	8.43508	0	0
15	0	13.8464	0	0
16	0	8.87778	0	0
17	0	6.07158	0	0
18	0	6.19288	0	0
19	0	9.14522	0	0
20	0	13.5176	0	0
21	0	16.6654	0	0
22	0	17.0426	0	0
23	0	15.3143	0	0
24	0	10.4793	0	0
25	0	5.62681	0	0
26	0	2.87192	0	0
27	0	2.849	0	0
28	0	5.15974	0	0
29	0	8.31091	0	0
30	0	13.9009	0	0
31	0	8.88477	0	0
32	0	6.08309	0	0
33	0	6.21177	0	0
34	0	9.16065	0	0
35	0	13.5226	0	0
36	0	16.6724	0	0
37	0	17.0544	0	0
38	0	15.3251	0	0
39	0	10.4866	0	0
40	0	5.62829	0	0
41	0	2.88747	0	0
42	0	2.86339	0	0
43	0	5.16145	0	0
44	0	8.33536	0	0
45	0	13.9549	0	0
46	0	9.02781	0	0
47	0	6.2166	0	0
48	0	6.36544	0	0
49	0	9.30881	0	0
50	0	13.6674	0	0
51	0	16.7541	0	0
52	0	17.106	0	0
53	0	15.4637	0	0
54	0	10.6587	0	0
55	0	5.7596	0	0
56	0	3.01469	0	0
57	0	3.00184	0	0
58	0	5.32994	0	0
59	0	8.45283	0	0
60	0	13.7351	0	0
61	0	8.72894	0	0
62	0	5.9071	0	0
63	0	6.02396	0	0
64	0	9.00792	0	0
65	0	13.3722	0	0
66	0	16.5507	0	0
67	0	16.9798	0	0
68	0	15.0854	0	0
69	0	10.2214	0	0
70	0	5.4742	0	0
71	0	2.76489	0	0
72	0	2.71832	0	0
73	0	5.02115	0	0
74	0	8.19662	0	0
75	0	13.8928	0	0
76	0	8.89351	0	0
77	0	6.0081	0	0
78	0	6.08708	0	0
79	0	9.02714	0	0
80	0	13.3826	0	0
81	0	16.6333	0	0
82	0	17.0166	0	0
83	0	15.1867	0	0
84	0	10.3578	0	0
85	0	5.5398	0	0
86	0	2.78787	0	0
87	0	2.74088	0	0
88	0	5.05747	0	0
89	0	8.23544	0	0
90	1	1682.85	-6.43463e-19	-6.43463e-19
91	1	53.2958	4.51497e-20	4.51497e-20
92	1	1.18757	3.04633e-22	3.04633e-22
93	1	1.18757	-5.7065e-23	-5.7065e-23
