WallIDX	TGTConc	PrjFlux	EroFlux_w_by_w	EroFluxPartial_w_by_w
0	1.41929e-22	-3.39644e-26	9.66005e-76	6.80627e-54
1	-3.9412e-22	-4.36477e-26	1.72611e-77	-4.37965e-56
2	-6.1445e-22	1.2074e-26	-1.20101e-77	1.95462e-56
3	1.15096e-21	3.13484e-26	-4.52648e-75	-3.93277e-54
4	3.41045e-21	1.80918e-25	6.595e-75	1.93376e-54
5	-1.96414e-21	4.10413e-25	-7.56735e-76	3.85276e-55
6	2.75741e-21	1.6418e-24	-3.26696e-74	-1.18479e-53
7	-2.49198e-21	-3.15498e-25	-4.77786e-75	1.91729e-54
8	3.40649e-22	-1.33095e-24	2.55082e-76	7.48811e-55
9	8.52101e-24	-2.71031e-24	1.84443e-77	2.16456e-54
10	4.37205e-23	-1.25107e-24	1.26426e-76	2.89168e-54
11	2.27592e-23	-4.70223e-25	1.20964e-77	5.31494e-55
12	6.44457e-24	-2.66838e-25	1.58142e-79	2.45388e-56
13	5.61701e-24	-1.04788e-25	1.36375e-80	2.4279e-57
14	-2.24872e-25	-8.33698e-26	-6.44823e-82	2.86751e-57
15	-5.52883e-23	1.29268e-25	-4.61379e-77	8.34496e-55
16	-5.7832e-23	1.92469e-26	-1.30253e-78	2.25227e-56
17	-6.4452e-23	-2.48354e-25	3.38923e-79	-5.25853e-57
18	-1.17981e-22	-1.12352e-24	3.45587e-77	-2.92917e-55
19	-8.49088e-23	2.10883e-25	7.76863e-77	-9.14939e-55
20	-2.41709e-21	1.18167e-24	1.95015e-74	-8.06817e-54
21	2.52161e-21	4.7979e-24	-1.25385e-72	-4.97243e-52
22	-3.37308e-21	-5.4406e-24	-1.80951e-71	5.36458e-51
23	5.72958e-21	-7.51173e-24	-5.48937e-73	-9.58076e-53
24	-1.87593e-21	-1.77461e-23	2.89827e-72	-1.54498e-51
25	3.08416e-23	-5.42054e-24	5.28013e-76	1.71202e-53
26	5.03292e-24	-1.50604e-24	8.79683e-78	1.74786e-54
27	-3.57435e-24	-2.16355e-25	-3.89212e-80	1.0889e-56
28	1.33473e-24	-1.7708e-25	6.12462e-81	4.58866e-57
29	3.01979e-24	-3.23409e-25	1.58875e-79	5.26112e-56
30	-1.2964e-22	-1.21389e-24	3.45565e-75	-2.66559e-53
31	-9.97589e-24	-7.96896e-25	-9.48404e-78	9.50696e-55
32	-2.2847e-23	-2.20586e-24	-1.42364e-76	6.2312e-54
33	3.69085e-22	-7.50215e-24	-2.92932e-73	-7.93672e-52
34	-1.28872e-22	-1.39365e-24	-2.03477e-75	1.5789e-53
35	7.56507e-21	6.83749e-25	5.37857e-75	7.10974e-55
36	-2.91358e-21	1.45936e-24	-5.53349e-74	1.89921e-53
37	2.24072e-21	2.30132e-24	-2.32837e-73	-1.03912e-52
38	-2.68841e-22	-4.03387e-24	1.31568e-75	-4.8939e-54
39	-2.31431e-23	-6.93607e-24	-9.66307e-76	4.17536e-53
40	-3.24402e-22	1.41295e-25	-4.61673e-74	1.42315e-52
41	1.12084e-23	-2.16898e-25	-2.40409e-78	-2.14491e-55
42	1.6446e-24	-1.55133e-25	-5.01205e-81	-3.04757e-57
43	3.57425e-24	-2.12941e-25	3.20897e-80	8.97803e-57
44	1.1241e-24	-1.82338e-25	1.61049e-80	1.4327e-56
45	-6.70285e-24	-4.6363e-25	-6.25202e-77	9.3274e-54
46	2.95764e-23	-4.16712e-25	4.87514e-78	1.64832e-55
47	8.60804e-23	-1.42161e-24	3.66194e-76	4.2541e-54
48	-5.48986e-22	-2.25045e-24	7.76449e-75	-1.41433e-53
49	-1.3868e-22	-1.37059e-24	1.89974e-75	-1.36988e-53
50	-2.24106e-22	-5.31512e-25	-4.89453e-77	2.18403e-55
51	5.78523e-22	5.49525e-25	2.25247e-75	3.89349e-54
52	-1.88342e-21	3.71805e-24	5.44471e-73	-2.89086e-52
53	-6.20902e-23	8.35847e-25	6.60973e-76	-1.06454e-53
54	-6.13053e-22	-3.69941e-24	6.31441e-74	-1.02999e-52
55	4.16538e-23	-1.19127e-24	3.14762e-77	7.55661e-55
56	2.07513e-23	-1.15402e-24	3.46786e-77	1.67116e-54
57	4.79403e-24	-3.1674e-25	-2.67091e-80	-5.57132e-57
58	-6.0752e-25	-6.90406e-26	-4.78284e-82	7.87273e-58
