WallIDX	Charge	al	n	w
0	0	0.0104909	0.0140119	2.79689e-25
0	1	0.025861	0.0259364	4.44577e-25
0	2	0.000703545	0.000409989	1.09371e-26
0	3	0	0	0
1	0	0.00924086	0.0140601	5.77396e-26
1	1	0.02532	0.0254463	2.15799e-25
1	2	0.000340489	0.000199494	4.01437e-27
1	3	0	0	0
2	0	0.0147171	0.0233199	-1.6722e-26
2	1	0.0345417	0.0495375	4.25335e-26
2	2	0.000862571	0.000428003	4.58487e-27
2	3	0	1.70158e-05	0
3	0	0.0282625	0.0384352	-3.99984e-26
3	1	0.0644764	0.0886813	-8.95341e-26
3	2	0.000725448	0.000935314	-8.4626e-27
3	3	0	0	0
4	0	0.0192926	0.0304452	1.69034e-26
4	1	0.0442827	0.0643844	2.51286e-27
4	2	0.000645277	0.000613578	-3.23321e-28
4	3	0	0	0
5	0	0.0184566	0.0293771	-5.92711e-26
5	1	0.0416787	0.0548633	-1.17552e-25
5	2	0.000651408	0.000604274	-2.43216e-27
5	3	0	0	0
6	0	0.0233855	0.034092	-5.68943e-26
6	1	0.0518493	0.0651669	3.32189e-26
6	2	0.000718963	0.000653229	-3.19017e-27
6	3	0	0	0
7	0	0.0247755	0.0346913	-4.63325e-25
7	1	0.0529003	0.0720129	-2.24738e-25
7	2	0.00075138	0.000701413	-2.10417e-27
7	3	0	0	0
8	0	0.0202783	0.0260901	-7.07589e-25
8	1	0.0447159	0.0560768	-7.10995e-25
8	2	0.00034659	0.000671479	-6.33568e-27
8	3	0	0	0
9	0	0.0128483	0.0201205	-1.25454e-24
9	1	0.0336506	0.0426108	-1.05098e-24
9	2	0.000409103	0.000263623	-8.58112e-27
9	3	0	0	0
10	0	0.0115149	0.0182995	-2.64457e-25
10	1	0.0303221	0.0425395	-4.96439e-25
10	2	0.000566987	0.000393123	-2.3453e-26
10	3	0	0	0
11	0	0.00783081	0.0127695	-4.61319e-26
11	1	0.0209687	0.0286439	-7.75983e-26
11	2	0.000324812	0.000359104	1.9652e-27
11	3	0	0	0
12	0	0.00302763	0.00541387	-1.67855e-26
12	1	0.0104345	0.0119029	-8.51558e-26
12	2	0.000246845	0.000229031	-1.54842e-26
12	3	0	0	0
13	0	0.0026431	0.00412543	-4.70837e-27
13	1	0.00802817	0.00782444	-2.19727e-26
13	2	0.000120514	0.0002007	7.55363e-28
13	3	0	0	0
14	0	0.00363457	0.00478888	-4.77444e-36
14	1	0.00799616	0.00856756	-3.4774e-26
14	2	0.000180848	0.000162887	1.8558e-30
14	3	0	0	0
15	0	0.0112604	0.0139512	-2.66753e-26
15	1	0.0240695	0.0253964	2.24571e-25
15	2	0.000478143	0.000287155	-7.71946e-27
15	3	0	0	0
16	0	0.00783132	0.0119102	-4.82015e-26
16	1	0.02205	0.0205	9.54041e-26
16	2	0.000347395	0.000163911	1.83832e-27
16	3	0	0	0
17	0	0.00866447	0.0124167	-4.16751e-26
17	1	0.0224779	0.0257747	9.36395e-27
17	2	0.000429626	0.000180575	-2.42219e-27
17	3	0	0	0
18	0	0.0128211	0.0196126	-1.2804e-25
18	1	0.0307214	0.0416104	3.30593e-27
18	2	0.000707527	0.000615248	-3.1163e-27
18	3	0	0	0
19	0	0.0132748	0.0217698	-1.15827e-26
19	1	0.0312711	0.0405829	3.0165e-26
19	2	0.000493194	0.000249693	5.88084e-27
19	3	0	0	0
20	0	0.0191641	0.0301716	1.60386e-25
20	1	0.0415302	0.0586176	1.90781e-26
20	2	0.000473167	0.000403293	-5.4254e-27
20	3	0	0	0
21	0	0.0343314	0.0462605	1.10538e-25
21	1	0.0838897	0.111057	-1.16026e-25
21	2	0.00112807	0.00102135	-5.07105e-26
21	3	0	0	0
22	0	0.04129	0.0562985	-3.93255e-24
22	1	0.127228	0.159775	-1.15697e-23
22	2	0.000963116	0.00177043	-8.21433e-26
22	3	0	0	0
23	0	0.0214487	0.0308538	-1.87128e-24
23	1	0.0444938	0.0595495	-4.71412e-24
23	2	0.000505918	0.000567082	-7.51161e-26
23	3	0	0	0
24	0	0.013459	0.017981	-5.11605e-24
24	1	0.0279547	0.035427	-6.77699e-24
24	2	0.000653148	0.000239207	-2.08047e-25
24	3	0	0	0
25	0	0.0074707	0.0119628	6.71652e-25
25	1	0.0191049	0.0224905	-2.97728e-24
25	2	0.000573404	0.000199749	-1.19423e-25
25	3	0	0	0
26	0	0.00430815	0.00718749	4.7228e-25
26	1	0.0117945	0.016294	-9.92436e-25
26	2	0.000403353	0.000234977	-1.16844e-25
26	3	0	0	0
27	0	0.00213385	0.00388409	2.69123e-26
27	1	0.00780985	0.0104805	-9.05297e-26
27	2	0.000258237	0.000186823	-2.47562e-26
27	3	0	0	0
28	0	0.0028232	0.00378868	1.39573e-35
28	1	0.00728173	0.00715962	-1.04426e-25
28	2	9.74072e-05	7.86452e-05	-1.07199e-27
28	3	0	0	0
29	0	0.0040022	0.00439182	-7.96083e-36
29	1	0.00754673	0.00849353	-1.90023e-25
29	2	0.00029824	0.000114955	1.89013e-27
29	3	0	0	0
30	0	0.0110067	0.0135784	-5.6573e-25
30	1	0.0224164	0.0227874	-7.19135e-25
30	2	0.000448254	0.000401752	-8.63098e-27
30	3	0	0	0
31	0	0.00773462	0.0103552	-1.04973e-25
31	1	0.0175445	0.0173759	-3.58668e-25
31	2	0.000316616	0.000121328	-1.24942e-26
31	3	0	0	0
32	0	0.00686089	0.01134	-7.22674e-26
32	1	0.0169326	0.0229822	-3.15622e-25
32	2	0.000392631	0.000300749	-1.04731e-26
32	3	0	0	0
33	0	0.00868194	0.0140995	-3.29318e-25
33	1	0.0208253	0.0307434	-4.639e-25
33	2	0.000459778	0.000279445	-7.31528e-27
33	3	0	0	0
34	0	0.0138346	0.0201541	-7.67946e-26
34	1	0.0279201	0.0370595	-1.61981e-25
34	2	0.000440379	0.000340343	-1.08074e-26
34	3	0	0	0
35	0	0.0190971	0.0279423	3.39607e-25
35	1	0.0417046	0.0537489	2.96401e-25
35	2	0.000589825	0.000489494	-1.32742e-26
35	3	0	0	0
36	0	0.0281916	0.0412112	-1.40857e-25
36	1	0.0610806	0.0873533	-8.67436e-25
36	2	0.000688218	0.000834381	1.94508e-29
36	3	0	0	0
37	0	0.0344239	0.0473207	-1.94571e-24
37	1	0.0803711	0.118324	-4.31987e-24
37	2	0.00073249	0.0010383	-3.54675e-26
37	3	0	0	0
38	0	0.0216256	0.0322358	-8.67274e-25
38	1	0.0488912	0.0625169	-4.04803e-24
38	2	0.000967897	0.000345339	-5.48397e-26
38	3	0	0	0
39	0	0.0132634	0.0191423	-3.96119e-25
39	1	0.0327835	0.0398214	-3.05441e-24
39	2	0.00051726	0.000314163	-4.68061e-26
39	3	0	4.4356e-06	0
40	0	0.00913319	0.0135028	5.2445e-24
40	1	0.0224334	0.0305268	4.53405e-24
40	2	0.000456708	0.000178056	1.90881e-26
40	3	0	0	0
41	0	0.00595831	0.00891995	1.02785e-24
41	1	0.0125438	0.0202817	1.24826e-24
41	2	0.000470314	0.000413469	6.42299e-26
41	3	0	0	0
42	0	0.00285015	0.0046958	4.79792e-26
42	1	0.00723157	0.00959682	2.2099e-25
42	2	0.000218743	0.000385557	1.54582e-26
42	3	0	0	0
43	0	0.00277219	0.00383534	-4.67822e-27
43	1	0.00636916	0.00595937	7.63382e-26
43	2	0.000282939	0.000131525	-1.01161e-26
43	3	0	0	0
44	0	0.00386113	0.00464208	1.57993e-26
44	1	0.00722766	0.00737439	8.0071e-26
44	2	0.000210687	0.000329806	-1.22322e-27
44	3	0	0	0
45	0	0.0113536	0.013638	6.50072e-27
45	1	0.0222199	0.0230067	-3.68156e-25
45	2	0.000318334	0.000347857	-1.56103e-27
45	3	0	0	0
46	0	0.00933671	0.0126755	-1.21476e-26
46	1	0.0190852	0.0189635	-1.77927e-25
46	2	8.21401e-05	0.000155995	-1.62663e-27
46	3	0	0	0
47	0	0.0113413	0.0182095	2.8341e-26
47	1	0.0198599	0.0296549	-8.56477e-26
47	2	0.000379058	0.000418846	-3.76882e-27
47	3	0	0	0
48	0	0.0137649	0.0221418	2.11905e-25
48	1	0.0255542	0.040118	1.54591e-25
48	2	0.000341598	0.000375224	1.36999e-26
48	3	0	0	0
49	0	0.0154768	0.0234429	3.955e-25
49	1	0.0307558	0.041348	3.764e-25
49	2	0.000425731	0.000492206	3.25914e-27
49	3	0	0	0
50	0	0.0164268	0.0270776	1.32477e-25
50	1	0.0355909	0.0440177	2.14625e-25
50	2	0.000471759	0.000414737	-2.98233e-27
50	3	0	0	0
51	0	0.0253202	0.0368096	-1.32448e-25
51	1	0.0520248	0.0701027	-3.32534e-25
51	2	0.000504175	0.000398482	7.28716e-28
51	3	0	0	0
52	0	0.0292161	0.0389706	-9.94058e-25
52	1	0.0669737	0.0903502	-1.81137e-24
52	2	0.000882468	0.00098757	-1.70646e-26
52	3	0	1.18025e-05	0
