WallIDX	al	n	w
0	0.00217401	0.00881361	3.89344e-46
1	0.00151937	0.00736455	-5.02415e-47
2	0.00457456	0.0197517	-9.93202e-46
3	0.0121213	0.031289	-2.89175e-42
4	0.00559383	0.0261416	-2.77732e-43
5	0.00385004	0.019452	1.02219e-44
6	0.00530685	0.0245867	2.39826e-43
7	0.00545576	0.0269224	-5.32409e-45
8	0.00438337	0.0204089	-2.41143e-45
9	0.00288021	0.0140892	4.76646e-46
10	0.00407786	0.0168068	1.88888e-45
11	0.00291478	0.0111999	1.15996e-45
12	0.000475999	0.00292261	4.17786e-48
13	0.000319331	0.0019717	9.41335e-49
14	0.000456255	0.00244131	4.90225e-48
15	0.00198959	0.00857725	-9.85177e-47
16	0.00131078	0.00596262	4.58966e-49
17	0.00149179	0.00739639	1.86357e-47
18	0.00330993	0.0152189	-1.17823e-45
19	0.00263395	0.0133783	8.13888e-45
20	0.00414518	0.0214645	-3.15731e-44
21	0.0120395	0.0454185	5.34524e-42
22	0.0214389	0.0641357	-9.77227e-41
23	0.00446481	0.02211	-5.11628e-43
24	0.00215291	0.0111212	-5.8978e-44
25	0.0013202	0.00657258	-6.26157e-46
26	0.000723425	0.00433151	-1.26284e-46
27	0.000335268	0.00242339	-4.55564e-48
28	0.000286188	0.00176667	-5.34304e-48
29	0.000446077	0.002365	9.47485e-49
30	0.00186265	0.00787771	7.22748e-46
31	0.00106517	0.0050853	9.3192e-47
32	0.00121506	0.00684184	2.23984e-46
33	0.00205849	0.0106249	2.1307e-44
34	0.00266667	0.0130717	5.00986e-45
35	0.00430183	0.0200676	1.39346e-43
36	0.00734871	0.0355657	7.36671e-43
37	0.0108851	0.0481683	-5.97138e-43
38	0.00516388	0.0235866	-8.02382e-44
39	0.00292484	0.0134491	-3.31569e-45
40	0.00274859	0.0118845	-1.91166e-44
41	0.00165948	0.00801535	-1.08372e-46
42	0.000402666	0.00259278	-1.90046e-47
43	0.000272514	0.00154794	-3.94599e-48
44	0.000418668	0.002214	3.22189e-48
45	0.00183259	0.00793211	6.08876e-46
46	0.0011451	0.00571468	3.00927e-46
47	0.00171036	0.00991299	1.47746e-45
48	0.00289752	0.0154025	8.65318e-45
49	0.00297459	0.0148374	8.39841e-45
50	0.00311418	0.0155629	3.3704e-44
51	0.0057237	0.0274651	5.37682e-43
52	0.00860994	0.0375823	1.50873e-42
53	0.00454178	0.0213913	2.32806e-44
54	0.00259122	0.0131662	-6.6875e-46
55	0.00260062	0.0126885	2.90307e-46
56	0.00238012	0.0105603	3.99857e-45
57	0.00048085	0.00305074	8.43145e-48
58	0.000269366	0.0018155	1.09786e-48
59	0.000439309	0.00239227	1.708e-49
60	0.00204366	0.00932789	7.2133e-45
61	0.00134345	0.0073111	7.94627e-45
62	0.0109438	0.0301473	6.40337e-41
63	0.017987	0.0384752	-8.93652e-32
64	0.011115	0.036259	6.92447e-43
65	0.00417003	0.0212681	1.13099e-44
66	0.0125246	0.0461024	-4.25618e-43
67	0.0177878	0.058943	-5.02954e-43
68	0.00542669	0.0263584	-1.44502e-44
69	0.00418091	0.0205317	-1.6131e-45
70	0.013441	0.0298526	8.72165e-32
71	0.00806564	0.0190332	-3.09991e-30
72	0.00321726	0.010158	3.96864e-44
73	0.000379289	0.00218078	4.66382e-47
74	0.000507581	0.00268434	4.29825e-47
75	0.00228773	0.0100369	7.92697e-45
76	0.00165026	0.00799922	1.09802e-44
77	0.00923309	0.0297621	-6.34583e-42
78	0.0172448	0.0416117	1.82354e-32
79	0.00795478	0.0318411	1.78166e-44
80	0.00408972	0.0189403	2.75052e-44
81	0.00551073	0.02473	5.97228e-45
82	0.00603864	0.0289196	2.74016e-46
83	0.00467806	0.0223804	1.99428e-44
84	0.00283701	0.0139838	7.12182e-46
85	0.00968294	0.0257186	2.58022e-42
86	0.00784239	0.0200083	-6.78556e-34
87	0.000781915	0.0048455	3.87239e-46
88	0.000369519	0.00238495	3.38812e-47
89	0.000541262	0.00273833	1.84728e-47
90	1.08899	2.2871	5.45466e-09
91	0.0675052	0.138146	4.68109e-11
92	0.00102409	0.00182455	1.76409e-12
93	0.000106158	0.000160593	2.95104e-12
