WallIDX	Prj	Chrg	Value
0	al	0	0.00524476
0	al	1	0.0777178
0	al	2	0.15511
0	al	3	0.194294
0	n	0	0.105769
0	n	1	0.276712
0	n	2	0.377265
0	n	3	0.375658
0	w	0	0
0	w	1	4.86336e-25
0	w	2	3.14085e-24
0	w	3	9.97639e-24
1	al	0	0.00455493
1	al	1	0.056558
1	al	2	0.132838
1	al	3	0.184756
1	n	0	0.090459
1	n	1	0.236501
1	n	2	0.374047
1	n	3	0.385695
1	w	0	0
1	w	1	4.68556e-27
1	w	2	1.71124e-26
1	w	3	8.02292e-26
2	al	0	0.00344076
2	al	1	0.126057
2	al	2	0.196728
2	al	3	0.20303
2	n	0	0.0741837
2	n	1	0.360588
2	n	2	0.358779
2	n	3	0.328788
2	w	0	0
2	w	1	6.03945e-27
2	w	2	5.85878e-26
2	w	3	1.33931e-25
3	al	0	0.00253232
3	al	1	0.185025
3	al	2	0.165385
3	al	3	0.14446
3	n	0	0.0647165
3	n	1	0.322056
3	n	2	0.257993
3	n	3	0.227407
3	w	0	0
3	w	1	2.12764e-22
3	w	2	5.87942e-22
3	w	3	2.8845e-06
4	al	0	0.00406644
4	al	1	0.12174
4	al	2	0.192809
4	al	3	0.205046
4	n	0	0.0860115
4	n	1	0.361871
4	n	2	0.365271
4	n	3	0.338814
4	w	0	0
4	w	1	4.3964e-24
4	w	2	5.53718e-23
4	w	3	1.29899e-22
5	al	0	0.00493559
5	al	1	0.0875492
5	al	2	0.168887
5	al	3	0.200101
5	n	0	0.10215
5	n	1	0.295701
5	n	2	0.377299
5	n	3	0.365692
5	w	0	0
5	w	1	2.15222e-25
5	w	2	1.69186e-24
5	w	3	5.02182e-24
6	al	0	0.00540908
6	al	1	0.0974359
6	al	2	0.178561
6	al	3	0.205271
6	n	0	0.111539
6	n	1	0.315128
6	n	2	0.379949
6	n	3	0.363342
6	w	0	0
6	w	1	1.48358e-25
6	w	2	1.24092e-24
6	w	3	3.49477e-24
7	al	0	0.00539056
7	al	1	0.0980724
7	al	2	0.17854
7	al	3	0.205447
7	n	0	0.111542
7	n	1	0.316429
7	n	2	0.379134
7	n	3	0.362425
7	w	0	0
7	w	1	5.55516e-26
7	w	2	4.72831e-25
7	w	3	1.31354e-24
8	al	0	0.0052954
8	al	1	0.0942599
8	al	2	0.176192
8	al	3	0.204153
8	n	0	0.108647
8	n	1	0.308842
8	n	2	0.380321
8	n	3	0.365232
8	w	0	0
8	w	1	5.9328e-25
8	w	2	4.83199e-24
8	w	3	1.39458e-23
9	al	0	0.00450516
9	al	1	0.0818661
9	al	2	0.164955
9	al	3	0.199054
9	n	0	0.0927005
9	n	1	0.284544
9	n	2	0.37702
9	n	3	0.367717
9	w	0	0
9	w	1	2.53128e-26
