WallIDX	Tgt	Prj	Chrg	Value
0	al	al	0	0.00291685
0	al	al	1	0.0594362
0	al	al	2	0.147945
0	al	al	3	0.260079
0	al	d	0	4.57027e-05
0	al	d	1	0.0115401
0	al	n	0	0.00282209
0	al	n	1	0.0622148
0	al	n	2	0.15568
0	al	n	3	0.272061
0	al	w	0	8.20736e-25
0	al	w	1	0.00319995
0	al	w	2	0.0148649
0	al	w	3	0.0463229
0	n	al	0	0.00467006
0	n	al	1	0.0421756
0	n	al	2	0.0926842
0	n	al	3	0.147148
0	n	d	0	0.00137451
0	n	d	1	0.0113563
0	n	n	0	0.00642197
0	n	n	1	0.0495178
0	n	n	2	0.104223
0	n	n	3	0.158949
0	n	w	0	3.78606e-06
0	n	w	1	0.00225332
0	n	w	2	0.00907116
0	n	w	3	0.0247227
0	w	al	0	0
0	w	al	1	-3.30206e-30
0	w	al	2	-3.89643e-29
0	w	al	3	-2.40596e-28
0	w	d	0	0
0	w	d	1	4.99667e-25
0	w	n	0	0
0	w	n	1	-1.01085e-30
0	w	n	2	-2.18116e-29
0	w	n	3	-1.43473e-28
0	w	w	0	0
0	w	w	1	-3.46324e-29
0	w	w	2	-1.86376e-28
0	w	w	3	-7.40393e-28
1	al	al	0	0.00255356
1	al	al	1	0.0431351
1	al	al	2	0.108457
1	al	al	3	0.204196
1	al	d	0	3.97655e-05
1	al	d	1	0.00810096
1	al	n	0	0.00245012
1	al	n	1	0.0449302
1	al	n	2	0.113604
1	al	n	3	0.214786
1	al	w	0	1.32567e-26
1	al	w	1	0.00229634
1	al	w	2	0.00730548
1	al	w	3	0.0266013
1	n	al	0	0.00385353
1	n	al	1	0.0299254
1	n	al	2	0.0686569
1	n	al	3	0.114671
1	n	d	0	0.001117
1	n	d	1	0.00804631
1	n	n	0	0.00523365
1	n	n	1	0.0353457
1	n	n	2	0.0789032
1	n	n	3	0.126231
1	n	w	0	3.18788e-06
1	n	w	1	0.00152764
1	n	w	2	0.00461571
1	n	w	3	0.014572
1	w	al	0	0
1	w	al	1	6.4603e-32
1	w	al	2	3.2735e-31
1	w	al	3	2.51377e-30
1	w	d	0	0
1	w	d	1	4.52671e-35
1	w	n	0	0
1	w	n	1	1.85382e-32
1	w	n	2	1.46398e-31
1	w	n	3	1.45579e-30
1	w	w	0	0
1	w	w	1	6.73228e-31
1	w	w	2	2.26892e-30
1	w	w	3	9.75532e-30
2	al	al	0	0.00184374
2	al	al	1	0.100858
2	al	al	2	0.292328
2	al	al	3	0.472944
2	al	d	0	2.97288e-05
2	al	d	1	0.020674
2	al	n	0	0.00185412
2	al	n	1	0.106841
2	al	n	2	0.305206
2	al	n	3	0.481868
2	al	w	0	1.72878e-27
2	al	w	1	0.00667282
2	al	w	2	0.0571911
2	al	w	3	0.142763
2	n	al	0	0.00375765
2	n	al	1	0.0836004
2	n	al	2	0.198206
2	n	al	3	0.298904
2	n	d	0	0.00116493
2	n	d	1	0.0221378
2	n	n	0	0.0053919
2	n	n	1	0.0970715
2	n	n	2	0.211741
2	n	n	3	0.308625
2	n	w	0	2.82757e-06
2	n	w	1	0.00554815
2	n	w	2	0.0372762
2	n	w	3	0.0882185
2	w	al	0	0
2	w	al	1	6.18604e-32
2	w	al	2	1.72739e-30
2	w	al	3	7.56987e-30
2	w	d	0	0
2	w	d	1	3.80961e-34
2	w	n	0	0
2	w	n	1	3.24834e-32
2	w	n	2	1.0185e-30
2	w	n	3	4.59425e-30
2	w	w	0	0
2	w	w	1	4.38709e-31
2	w	w	2	5.20444e-30
2	w	w	3	1.48447e-29
3	al	al	0	0.00122586
3	al	al	1	0.332199
3	al	al	2	0.684321
3	al	al	3	0.934122
3	al	d	0	2.21602e-05
3	al	d	1	0.0558106
3	al	n	0	0.0013736
3	al	n	1	0.342785
3	al	n	2	0.658095
3	al	n	3	0.843862
3	al	w	0	1.56787e-24
