WallIDX	al	n	w
0	0.436839	0.172997	8.65532e-23
1	0.443856	0.16598	-2.40349e-22
2	0.409704	0.200132	-3.74714e-22
3	0.352917	0.256919	7.019e-22
4	0.416951	0.192885	2.07982e-21
5	0.425676	0.18416	-1.1978e-21
6	0.427207	0.182629	1.68157e-21
7	0.42577	0.184066	-1.5197e-21
8	0.429327	0.180509	2.0774e-22
9	0.428107	0.181729	5.19642e-24
10	0.407415	0.202421	2.66624e-23
11	0.398925	0.210911	1.38794e-23
12	0.442574	0.167262	3.93013e-24
13	0.460774	0.149062	3.42545e-24
14	0.445826	0.16401	-1.37135e-25
15	0.436623	0.173213	-3.37168e-23
16	0.446753	0.163083	-3.5268e-23
17	0.437021	0.172815	-3.93052e-23
18	0.421052	0.188784	-7.19493e-23
19	0.425538	0.184298	-5.17804e-23
20	0.423161	0.186675	-1.47403e-21
21	0.402787	0.207049	1.53777e-21
22	0.382771	0.227065	-2.05702e-21
23	0.426048	0.183788	3.4941e-21
24	0.432931	0.176905	-1.14401e-21
25	0.433306	0.17653	1.88083e-23
26	0.423521	0.186315	3.06926e-24
27	0.43795	0.171886	-2.17977e-24
28	0.463516	0.14632	8.13967e-25
29	0.447136	0.1627	1.84158e-24
30	0.436859	0.172977	-7.90589e-23
31	0.445593	0.164243	-6.08366e-24
32	0.427559	0.182277	-1.39329e-23
33	0.42099	0.188846	2.25081e-22
34	0.425926	0.18391	-7.85911e-23
35	0.426302	0.183534	4.61345e-21
36	0.422053	0.187783	-1.77681e-21
37	0.407081	0.202755	1.36647e-21
38	0.426355	0.183481	-1.63949e-22
39	0.43001	0.179826	-1.41135e-23
40	0.422709	0.187127	-1.97832e-22
41	0.41149	0.198346	6.83527e-24
42	0.43267	0.177166	1.00294e-24
43	0.464087	0.145749	2.1797e-24
44	0.447045	0.162791	6.85515e-25
45	0.436718	0.173118	-4.08764e-24
46	0.444164	0.165672	1.80368e-23
47	0.419329	0.190507	5.24949e-23
48	0.415608	0.194228	-3.34792e-22
49	0.424038	0.185798	-8.45718e-23
50	0.427854	0.181982	-1.36668e-22
51	0.424708	0.185128	3.52804e-22
52	0.422101	0.187735	-1.14858e-21
53	0.426327	0.183509	-3.78649e-23
54	0.427905	0.181931	-3.73862e-22
55	0.418491	0.191345	2.5402e-23
56	0.390739	0.219097	1.26549e-23
57	0.42898	0.180856	2.92357e-24
58	0.457802	0.152034	-3.70487e-25
59	0.445601	0.164235	-8.40399e-25
60	0.435381	0.174455	-1.10147e-22
61	0.441809	0.168027	9.345e-23
62	0.353891	0.255945	-4.63006e-21
63	0.33701	0.272826	-4.89682e-22
64	0.377487	0.232349	9.34229e-23
65	0.425416	0.18442	-5.90751e-22
66	0.40621	0.203626	7.30379e-22
67	0.388702	0.221134	-2.15787e-21
68	0.424513	0.185323	1.71395e-22
69	0.421818	0.188018	-1.09191e-22
70	0.336724	0.273112	3.4827e-23
71	0.329648	0.280188	-3.05655e-22
72	0.384529	0.225307	1.30917e-23
73	0.466874	0.142962	2.54989e-24
74	0.446662	0.163174	6.06282e-25
75	0.435675	0.174161	6.6236e-23
76	0.446106	0.16373	-2.58372e-22
77	0.367565	0.242271	1.11294e-20
78	0.335709	0.274127	4.29238e-22
79	0.397159	0.212677	-3.78927e-23
80	0.430271	0.179565	-3.79132e-23
81	0.428464	0.181372	9.88059e-23
82	0.425157	0.184679	4.71545e-23
83	0.426935	0.182901	-1.797e-24
84	0.43024	0.179596	4.42279e-23
85	0.360608	0.249228	-9.30728e-22
86	0.34246	0.267376	4.34102e-23
87	0.422438	0.187398	8.07992e-24
88	0.461452	0.148384	3.03076e-24
89	0.446402	0.163434	3.16802e-24
90	0.0803618	0.0281407	0.511497
91	0.114198	0.0507629	0.45504
92	0.0779855	0.0365532	0.505461
93	0.00711425	0.00402803	0.608858
