WallIDX	al	n	w
0	-0.129842	-0.129842	2.81091e-23
1	-0.042038	-0.042038	-1.57363e-24
2	-0.0921746	-0.0921746	-1.7521e-25
3	-0.326252	-0.326252	-2.2169e-24
4	-0.127461	-0.127461	3.1288e-24
5	-0.12922	-0.12922	-1.16933e-23
6	-0.185359	-0.185359	-1.5404e-23
7	-0.190609	-0.190609	1.33551e-23
8	-0.166259	-0.166259	5.66539e-24
9	-0.0906685	-0.0906685	-1.05997e-23
10	-0.0964548	-0.0964549	3.41637e-24
11	-0.0525999	-0.0526004	6.66117e-25
12	-0.00460083	-0.00462957	5.62389e-25
13	-0.0157238	-0.0157277	1.25188e-25
14	-0.0516108	-0.0516112	1.70151e-25
15	-0.127866	-0.127866	6.30203e-24
16	-0.043731	-0.043731	-2.7486e-25
17	-0.0270761	-0.0270761	3.55445e-25
18	-0.0607416	-0.0607416	1.57458e-24
19	-0.0708779	-0.0708779	1.76192e-24
20	-0.145421	-0.145421	-5.51368e-24
21	-0.341183	-0.341183	7.0343e-23
22	-0.507799	-0.507799	-3.77748e-22
23	-0.1675	-0.1675	-3.71947e-23
24	-0.0738218	-0.0738219	-4.74974e-22
25	-0.0281027	-0.028103	1.20504e-23
26	-0.00833275	-0.00833952	3.33916e-24
27	-0.00539538	-0.00545377	5.47774e-25
28	-0.0150336	-0.0150396	5.26295e-25
29	-0.0500365	-0.0500372	8.35979e-25
30	-0.130694	-0.130694	-6.98972e-23
31	-0.0486821	-0.0486821	3.04669e-24
32	-0.0386414	-0.0386414	3.10438e-24
33	-0.0632771	-0.0632771	-6.95225e-23
34	-0.0899902	-0.0899902	-1.06505e-23
35	-0.151559	-0.151559	3.03238e-23
36	-0.22578	-0.22578	5.87793e-24
37	-0.305706	-0.305706	-6.67476e-23
38	-0.174019	-0.174019	1.34999e-23
39	-0.0942292	-0.0942292	-4.62604e-24
40	-0.0764284	-0.0764285	3.82147e-22
41	-0.0431884	-0.0431891	-6.99651e-24
42	-0.0112208	-0.0112349	-7.08486e-25
43	-0.0158107	-0.0158155	-7.47291e-27
44	-0.0508423	-0.0508428	-2.14935e-25
45	-0.131586	-0.131586	2.56046e-25
46	-0.0484801	-0.0484801	1.90914e-24
47	-0.0481974	-0.0481974	1.26524e-24
48	-0.074316	-0.074316	1.96439e-23
49	-0.0907251	-0.0907251	2.64905e-23
50	-0.125438	-0.125438	4.94408e-25
51	-0.207005	-0.207005	5.47154e-24
52	-0.257897	-0.257897	-7.74848e-23
53	-0.174698	-0.174698	2.83264e-23
54	-0.0894759	-0.0894759	1.83817e-22
55	-0.0646046	-0.0646047	-1.63867e-23
56	-0.0592935	-0.0592938	-5.68023e-24
57	-0.00945772	-0.00946565	-1.38594e-24
58	-0.0165003	-0.016503	-4.10173e-25
59	-0.0522027	-0.052203	-3.27455e-25
60	-0.124813	-0.124813	-2.57424e-23
61	-0.0364162	-0.0364162	7.22109e-25
62	-0.280223	-0.280223	4.814e-24
63	-0.503871	-0.503871	9.81266e-24
64	-0.265292	-0.265292	1.58363e-23
65	-0.126662	-0.126662	-1.91441e-25
66	-0.324106	-0.324106	-9.28096e-24
67	-0.445226	-0.445226	2.44382e-23
68	-0.172016	-0.172016	-2.30053e-24
69	-0.108531	-0.108531	-1.18324e-23
70	-0.418125	-0.418125	-1.37041e-23
71	-0.256797	-0.256797	-1.10981e-22
72	-0.0665579	-0.0665582	3.49093e-24
73	-0.0109253	-0.0109293	6.9212e-25
74	-0.0473943	-0.0473946	3.42866e-25
75	-0.126441	-0.126441	2.92439e-23
76	-0.0352222	-0.0352222	-3.5447e-25
77	-0.193248	-0.193248	-8.02958e-24
78	-0.443737	-0.443737	-4.54983e-24
79	-0.169444	-0.169444	-4.72882e-25
80	-0.11214	-0.11214	-1.63063e-24
81	-0.171748	-0.171748	2.76023e-23
82	-0.189111	-0.189111	8.50865e-25
83	-0.162492	-0.162492	-4.46531e-23
84	-0.0708743	-0.0708744	-2.77254e-23
85	-0.23087	-0.23087	2.28941e-23
86	-0.167216	-0.167216	3.1699e-24
87	-0.00165959	-0.00166856	1.34152e-24
88	-0.0114884	-0.0114925	5.39663e-25
89	-0.0480612	-0.0480614	3.68413e-25
90	2.70447e-07	-4.7306e-08	-0.00166832
91	3.21404e-07	-8.11962e-08	-0.000838705
92	0.000650752	0.000119503	-1.55326e-06
93	3.58604e-05	2.77426e-06	1.74247e-07
