Time	Al_90
3.71394e-05	1.81622e-05
7.42787e-05	3.63236e-05
0.000148557	7.2642e-05
0.000297115	0.000145271
0.00059423	0.000290491
0.000891345	0.000435581
0.00118846	0.000580503
0.00148557	0.000725237
0.0020798	0.00101403
0.00267403	0.00130175
0.00326826	0.00158817
0.00386249	0.00187309
0.00505095	0.00243772
0.00612057	0.00293906
0.00719018	0.00343312
0.0082598	0.00391928
0.00932941	0.00439707
0.010399	0.00486612
0.0114686	0.00532619
0.0136079	0.00621896
0.0157471	0.00707546
0.0178863	0.00789643
0.0200255	0.00868324
0.0221648	0.00943771
0.024304	0.0101618
0.0285825	0.0115271
0.0328609	0.0127953
0.0371394	0.0139807
0.0414178	0.0150956
0.0499747	0.0171496
0.057676	0.018842
0.0653772	0.0204206
0.0730784	0.0219086
0.0807796	0.0233226
0.0884808	0.0246746
0.0961821	0.0259739
0.103883	0.0272271
0.119286	0.0296155
0.134688	0.0318663
0.150091	0.0340003
0.165493	0.036032
0.180895	0.0379713
0.196298	0.0398252
0.2117	0.0415995
0.227103	0.0432988
0.257908	0.0464896
0.288713	0.0494258
0.319517	0.0521332
0.350322	0.0546346
0.411932	0.0590922
0.467381	0.0625768
0.52283	0.0656462
0.578278	0.068367
0.633727	0.0707937
0.689176	0.0729714
0.768093	0.0757123
0.847011	0.0781122
0.918036	0.0800369
0.981959	0.0816123
1.03949	0.0829239
1.09127	0.0840325
1.13787	0.0849773
1.18447	0.085877
1.23107	0.0867355
1.27767	0.0875566
1.31863	0.0882378
1.35549	0.0888322
1.39235	0.0894099
1.42922	0.0899713
1.46608	0.0905172
1.5398	0.0915742
1.60616	0.0924818
1.67251	0.0933495
1.73886	0.0941802
1.80522	0.094977
1.86494	0.0956561
1.91829	0.0962452
1.97165	0.0968166
2.025	0.0973722
2.07836	0.0979127
2.13171	0.0984385
2.23843	0.0994585
2.34514	0.100429
2.42026	0.101101
2.49538	0.101777
2.5705	0.102452
2.64562	0.103122
2.72074	0.103785
2.79587	0.104437
2.86348	0.105006
2.93109	0.105563
2.99869	0.106106
3.0663	0.106634
3.13391	0.107147
3.26913	0.108136
3.40435	0.109072
3.53957	0.109952
3.67479	0.110778
3.81001	0.111552
3.94523	0.112279
4.08045	0.112961
4.21567	0.113603
4.33697	0.114133
4.44244	0.114574
4.54791	0.114994
4.65338	0.115396
4.86431	0.116162
5.07525	0.116865
5.28618	0.11751
5.49712	0.118102
5.70806	0.118647
5.91899	0.11915
6.12993	0.119617
6.34086	0.120051
6.5518	0.120456
6.76273	0.120834
6.97367	0.121188
7.18461	0.121519
7.39554	0.12183
7.81741	0.122398
8.23928	0.122903
8.66116	0.123353
9.08303	0.123756
9.92677	0.124442
10.7705	0.125005
11.6143	0.125479
12.3736	0.125848
13.0487	0.126139
13.7239	0.126398
14.399	0.126631
15.0741	0.126842
15.7492	0.127033
16.4243	0.127207
17.0994	0.127365
17.7746	0.12751
18.4497	0.127643
19.1248	0.127766
19.7999	0.127879
20.475	0.12798
21.063	0.128063
21.6511	0.128141
22.2391	0.128214
23.4151	0.128351
24.5911	0.128473
25.7671	0.128582
28.1191	0.128769
30.4712	0.128919
32.8232	0.12904
35.1752	0.129139
37.5273	0.129219
39.8793	0.129284
44.5833	0.129382
49.2874	0.12945
53.9915	0.129499
58.6955	0.129535
63.3996	0.129559
68.1036	0.129576
72.8077	0.129588
77.5117	0.129597
82.2158	0.129603
86.9199	0.129608
91.6239	0.129611
100	0.129616
