WallIDX100.000	al	n	w
0	-12.9043	-13.169	2.75304e-22
1	-4.12028	-4.39862	1.01433e-22
2	-9.14409	-9.35419	-1.47592e-23
3	-32.5804	-32.6767	1.11093e-20
4	-12.6716	-12.8963	-7.17304e-24
5	-12.8446	-13.0868	2.67645e-22
6	-18.4579	-18.7033	-1.56687e-20
7	-18.9831	-19.2256	-2.02573e-21
8	-16.5477	-16.7973	-6.88027e-22
9	-8.98822	-9.23523	3.18739e-22
10	-9.57341	-9.7789	6.83738e-22
11	-5.18968	-5.378	3.80957e-22
12	-0.378195	-0.653656	6.07942e-23
13	-1.48835	-1.80031	4.70042e-23
14	-5.07941	-5.3617	4.51344e-23
15	-12.7071	-12.9713	3.54162e-23
16	-4.28868	-4.57281	2.91289e-23
17	-2.62484	-2.88938	-5.52342e-23
18	-5.99711	-6.22985	1.86584e-22
19	-7.01015	-7.25193	9.22549e-22
20	-14.4656	-14.7028	-3.69801e-21
21	-34.0479	-34.2442	-7.40245e-20
22	-50.7176	-50.8737	9.57398e-20
23	-16.6724	-16.9154	4.64633e-20
24	-7.30263	-7.55924	-2.98517e-21
25	-2.72955	-2.98664	-4.82131e-22
26	-0.757191	-0.994528	-1.78698e-22
27	-0.462312	-0.728502	-6.09315e-23
28	-1.41937	-1.7368	-4.20442e-23
29	-4.92263	-5.20753	1.39959e-23
30	-12.9898	-13.2545	-2.05684e-22
31	-4.78589	-5.06771	1.4444e-22
32	-3.78632	-4.03193	1.63075e-22
33	-6.25141	-6.48398	1.92344e-22
34	-8.92139	-9.16401	1.80245e-21
35	-15.0779	-15.3214	-3.45694e-20
36	-22.5015	-22.7365	-1.28416e-20
37	-30.4987	-30.7036	-6.23298e-20
38	-17.3237	-17.5674	3.32152e-21
39	-9.34333	-9.59416	-1.18551e-21
40	-7.5654	-7.80149	1.26603e-21
41	-4.24584	-4.45927	-1.89679e-22
42	-1.0444	-1.30005	-8.01199e-23
43	-1.49691	-1.81549	-4.21047e-23
44	-5.00321	-5.28793	-2.06226e-23
45	-13.0792	-13.3436	-1.44128e-22
46	-4.76696	-5.04593	5.47906e-22
47	-4.74512	-4.97431	1.24426e-21
48	-7.35839	-7.58026	1.2969e-21
49	-8.99582	-9.23467	1.54132e-21
50	-12.4658	-12.7124	3.32382e-21
51	-20.6231	-20.8634	-3.52346e-20
52	-25.7135	-25.9486	-7.33275e-21
53	-17.3919	-17.6355	2.07161e-20
54	-8.86969	-9.11629	-5.91526e-22
55	-6.38595	-6.61355	-2.91243e-22
56	-5.86471	-6.03663	-6.01127e-22
57	-0.869698	-1.11797	-1.43267e-22
58	-1.56787	-1.87388	-4.0802e-23
59	-5.13934	-5.42118	5.84241e-24
60	-12.4021	-12.6638	8.83081e-22
61	-3.56002	-3.83425	2.5404e-21
62	-27.9768	-28.0751	-7.65544e-20
63	-50.3624	-50.4267	-3.80357e-20
64	-26.47	-26.6156	-8.05792e-21
65	-12.5894	-12.8311	-2.436e-21
66	-32.3393	-32.5425	2.73925e-20
67	-44.4581	-44.6262	9.16821e-22
68	-17.1244	-17.3643	-4.69995e-22
69	-10.7767	-11.0112	-3.37852e-22
70	-41.786	-41.8498	-1.24346e-21
71	-25.6641	-25.7137	4.52775e-20
72	-6.59258	-6.7521	-1.47149e-21
73	-1.00554	-1.32969	-2.92486e-22
74	-4.65803	-4.94197	-1.12914e-22
75	-12.5645	-12.8268	1.04546e-21
76	-3.43811	-3.72096	1.96603e-21
77	-19.2699	-19.3956	-1.47256e-21
78	-44.3476	-44.4094	6.47067e-21
79	-16.8768	-17.0618	1.16995e-21
80	-11.1348	-11.3862	-1.1099e-20
81	-17.0958	-17.3437	-9.02517e-21
82	-18.8333	-19.0745	-1.23495e-21
83	-16.171	-16.4159	-1.57054e-21
84	-7.00854	-7.25979	6.66149e-22
85	-23.0367	-23.1484	-2.80296e-20
86	-16.6865	-16.7618	-4.51882e-22
87	-0.0898246	-0.325001	-4.58959e-22
88	-1.06448	-1.37778	-1.74771e-22
89	-4.72518	-5.00861	-1.29531e-22
90	0.0843822	0.0326516	-0.16682
91	0.125884	0.0631105	-0.0851552
92	0.0851316	0.041488	-0.000313098
93	0.00717114	0.00407516	1.78173e-05
