WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
92	0.000	7.912	0.127	0.059	0.814	0.185511	0.185511
93	0.000	7.912	0.012	0.007	0.982	0.232535	0.232535
90	0.000	8.844	0.130	0.045	0.825	0.211342	0.211342
91	0.000	10.018	0.184	0.082	0.734	0.209862	0.209862
92	0.000	31.648	0.127	0.059	0.814	0.480823	0.480823
93	0.000	31.648	0.012	0.007	0.982	0.58859	0.58859
90	0.000	35.379	0.130	0.045	0.825	0.492856	0.492856
91	0.000	40.069	0.184	0.082	0.734	0.444979	0.444979
92	0.000	55.384	0.127	0.059	0.814	0.49521	0.49521
93	0.000	55.384	0.012	0.007	0.982	0.584244	0.584244
90	0.000	61.914	0.130	0.045	0.825	0.497164	0.497164
91	0.000	70.120	0.184	0.082	0.734	0.445873	0.445873
92	0.000	79.120	0.127	0.059	0.814	0.477962	0.477962
93	0.000	79.120	0.012	0.007	0.982	0.563616	0.563616
90	0.000	88.449	0.130	0.045	0.825	0.479221	0.479221
91	0.000	100.171	0.184	0.082	0.734	0.42971	0.42971
72	45.000	9.352	0.631	0.369	0.000	0.0576499	0.0576499
87	45.000	9.366	0.693	0.307	0.000	0.0632936	0.0632936
71	45.000	9.380	0.541	0.459	-0.000	0.050174	0.050174
86	45.000	9.392	0.562	0.438	0.000	0.0519816	0.0519816
27	45.000	9.428	0.718	0.282	-0.000	0.0660087	0.0660087
42	45.000	9.436	0.709	0.291	0.000	0.0652853	0.0652853
26	45.000	9.440	0.694	0.306	-0.000	0.0639655	0.0639655
41	45.000	9.450	0.675	0.325	0.000	0.0622464	0.0622464
12	45.000	9.508	0.726	0.274	0.000	0.0672587	0.0672587
57	45.000	9.516	0.703	0.297	0.000	0.0652857	0.0652857
11	45.000	9.518	0.654	0.346	0.000	0.0608205	0.0608205
56	45.000	9.522	0.641	0.359	0.000	0.0596317	0.0596317
73	45.000	10.662	0.766	0.234	0.000	0.0794768	0.0794768
88	45.000	10.680	0.757	0.243	0.000	0.078712	0.078712
28	45.000	10.734	0.760	0.240	0.000	0.0794559	0.0794559
43	45.000	10.736	0.761	0.239	0.000	0.0795604	0.0795604
13	45.000	10.810	0.756	0.244	0.000	0.0795461	0.0795461
58	45.000	10.824	0.751	0.249	-0.000	0.0791494	0.0791494
70	45.000	10.908	0.552	0.448	0.000	0.05947	0.05947
85	45.000	10.944	0.591	0.409	-0.000	0.0634319	0.0634319
40	45.000	10.988	0.693	0.307	-0.000	0.0743144	0.0743144
25	45.000	10.988	0.711	0.289	0.000	0.0761338	0.0761338
10	45.000	11.054	0.668	0.332	0.000	0.0721064	0.0721064
55	45.000	11.058	0.686	0.314	0.000	0.0740448	0.0740448
62	45.000	11.152	0.580	0.420	-0.000	0.0635646	0.0635646
77	45.000	11.204	0.603	0.397	0.000	0.0660949	0.0660949
63	45.000	11.214	0.553	0.447	-0.000	0.0611839	0.0611839
17	45.000	11.236	0.717	0.283	-0.000	0.0785115	0.0785115
32	45.000	11.244	0.701	0.299	-0.000	0.0768872	0.0768872
78	45.000	11.248	0.550	0.450	0.000	0.0611516	0.0611516
18	45.000	11.302	0.690	0.310	-0.000	0.0761327	0.0761327
2	45.000	11.310	0.672	0.328	-0.000	0.0741837	0.0741837
33	45.000	11.310	0.690	0.310	0.000	0.076188	0.076188
47	45.000	11.312	0.688	0.312	0.000	0.0758944	0.0758944
3	45.000	11.384	0.579	0.421	0.000	0.0647165	0.0647165
48	45.000	11.390	0.682	0.318	-0.000	0.0757539	0.0757539
74	45.000	12.342	0.732	0.268	-0.000	0.0880923	0.0880923
