WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.127	0.059	0.814	0.00303785	0.00303785
93	0.000	7.912	0.012	0.007	0.982	0.000236756	0.000236756
90	0.000	8.844	0.130	0.045	0.825	0.00264849	0.00264849
91	0.000	10.018	0.184	0.082	0.734	0.0047354	0.0047354
92	0.000	31.648	0.127	0.059	0.814	0.0159446	0.0159446
93	0.000	31.648	0.012	0.007	0.982	0.0012085	0.0012085
90	0.000	35.379	0.130	0.045	0.825	0.0144646	0.0144646
91	0.000	40.069	0.184	0.082	0.734	0.0275776	0.0275776
92	0.000	55.384	0.127	0.059	0.814	0.0318048	0.0318048
93	0.000	55.384	0.012	0.007	0.982	0.00235299	0.00235299
90	0.000	61.914	0.130	0.045	0.825	0.0273532	0.0273532
91	0.000	70.120	0.184	0.082	0.734	0.0506497	0.0506497
92	0.000	79.120	0.127	0.059	0.814	0.0428562	0.0428562
93	0.000	79.120	0.012	0.007	0.982	0.00305387	0.00305387
90	0.000	88.449	0.130	0.045	0.825	0.0358226	0.0358226
91	0.000	100.171	0.184	0.082	0.734	0.065939	0.065939
72	45.000	9.352	0.631	0.369	0.000	0.00331401	0.00331401
87	45.000	9.366	0.693	0.307	0.000	0.00300646	0.00300646
71	45.000	9.380	0.541	0.459	-0.000	0.00361536	0.00361536
86	45.000	9.392	0.562	0.438	0.000	0.00357161	0.00357161
27	45.000	9.428	0.718	0.282	-0.000	0.00289761	0.00289761
42	45.000	9.436	0.709	0.291	0.000	0.00294427	0.00294427
26	45.000	9.440	0.694	0.306	-0.000	0.00302179	0.00302179
41	45.000	9.450	0.675	0.325	0.000	0.00312474	0.00312474
12	45.000	9.508	0.726	0.274	0.000	0.00288382	0.00288382
57	45.000	9.516	0.703	0.297	0.000	0.00300002	0.00300002
11	45.000	9.518	0.654	0.346	0.000	0.00325238	0.00325238
56	45.000	9.522	0.641	0.359	0.000	0.00332266	0.00332266
73	45.000	10.662	0.766	0.234	0.000	0.00300608	0.00300608
88	45.000	10.680	0.757	0.243	0.000	0.00306239	0.00306239
28	45.000	10.734	0.760	0.240	0.000	0.00305832	0.00305832
43	45.000	10.736	0.761	0.239	0.000	0.00305326	0.00305326
13	45.000	10.810	0.756	0.244	0.000	0.00310575	0.00310575
58	45.000	10.824	0.751	0.249	-0.000	0.00313824	0.00313824
70	45.000	10.908	0.552	0.448	0.000	0.00417359	0.00417359
85	45.000	10.944	0.591	0.409	-0.000	0.00408078	0.00408078
40	45.000	10.988	0.693	0.307	-0.000	0.0035252	0.0035252
25	45.000	10.988	0.711	0.289	0.000	0.00342258	0.00342258
10	45.000	11.054	0.668	0.332	0.000	0.00369475	0.00369475
55	45.000	11.058	0.686	0.314	0.000	0.00358807	0.00358807
62	45.000	11.152	0.580	0.420	-0.000	0.00418929	0.00418929
77	45.000	11.204	0.603	0.397	0.000	0.00413778	0.00413778
63	45.000	11.214	0.553	0.447	-0.000	0.00428932	0.00428932
17	45.000	11.236	0.717	0.283	-0.000	0.00346336	0.00346336
32	45.000	11.244	0.701	0.299	-0.000	0.00355878	0.00355878
78	45.000	11.248	0.550	0.450	0.000	0.00430781	0.00430781
18	45.000	11.302	0.690	0.310	-0.000	0.00364184	0.00364184
2	45.000	11.310	0.672	0.328	-0.000	0.00375765	0.00375765
33	45.000	11.310	0.690	0.310	0.000	0.00364563	0.00364563
47	45.000	11.312	0.688	0.312	0.000	0.00366217	0.00366217
3	45.000	11.384	0.579	0.421	0.000	0.00428026	0.00428026
48	45.000	11.390	0.682	0.318	-0.000	0.0037247	0.0037247
74	45.000	12.342	0.732	0.268	-0.000	0.00369914	0.00369914
89	45.000	12.360	0.732	0.268	0.000	0.00370758	0.00370758
29	45.000	12.396	0.733	0.267	0.000	0.0037104	0.0037104
44	45.000	12.408	0.733	0.267	0.000	0.00371496	0.00371496
14	45.000	12.454	0.731	0.269	-0.000	0.00374198	0.00374198
59	45.000	12.462	0.731	0.269	-0.000	0.00374693	0.00374693
61	45.000	12.614	0.724	0.276	0.000	0.00383484	0.00383484
16	45.000	12.684	0.733	0.267	-0.000	0.00380095	0.00380095
31	45.000	12.688	0.731	0.269	-0.000	0.00381486	0.00381486
76	45.000	12.694	0.732	0.268	-0.000	0.00381102	0.00381102
1	45.000	12.752	0.728	0.272	-0.000	0.00385353	0.00385353
64	45.000	12.752	0.619	0.381	0.000	0.00459823	0.00459823
46	45.000	12.756	0.728	0.272	0.000	0.00385133	0.00385133
79	45.000	12.762	0.651	0.349	-0.000	0.0043807	0.0043807
19	45.000	12.818	0.698	0.302	-0.000	0.00408	0.00408
34	45.000	12.826	0.698	0.302	-0.000	0.00407801	0.00407801
4	45.000	12.890	0.684	0.316	0.000	0.00420048	0.00420048
49	45.000	12.894	0.695	0.305	-0.000	0.00412156	0.00412156
69	45.000	13.352	0.692	0.308	-0.000	0.0042938	0.0042938
84	45.000	13.418	0.706	0.294	0.000	0.00421539	0.00421539
24	45.000	13.474	0.710	0.290	-0.000	0.00420107	0.00420107
39	45.000	13.476	0.705	0.295	-0.000	0.00423666	0.00423666
9	45.000	13.538	0.702	0.298	0.000	0.00427881	0.00427881
54	45.000	13.556	0.702	0.298	-0.000	0.00428664	0.00428664
65	45.000	14.876	0.698	0.302	-0.000	0.00473706	0.00473706
80	45.000	14.880	0.706	0.294	-0.000	0.00467475	0.00467475
20	45.000	14.940	0.694	0.306	-0.000	0.00478673	0.00478673
35	45.000	14.942	0.699	0.301	0.000	0.00474606	0.00474606
5	45.000	15.002	0.698	0.302	-0.000	0.00477342	0.00477342
50	45.000	15.004	0.702	0.298	-0.000	0.00474562	0.00474562
60	45.000	15.046	0.714	0.286	-0.000	0.00465879	0.00465879
15	45.000	15.090	0.716	0.284	-0.000	0.00465641	0.00465641
30	45.000	15.114	0.716	0.284	-0.000	0.00466067	0.00466067
75	45.000	15.116	0.714	0.286	0.000	0.00467691	0.00467691
45	45.000	15.132	0.716	0.284	0.000	0.00466802	0.00466802
0	45.000	15.144	0.716	0.284	0.000	0.00467006	0.00467006
68	45.000	15.678	0.696	0.304	0.000	0.00500431	0.00500431
83	45.000	15.722	0.700	0.300	0.000	0.00498535	0.00498535
