WallIDX	TGTConc	PrjFlux	EroFlux_al_by_al	EroFluxPartial_al_by_al
0	0.5	0.026349	0.000357774	0.000715549
1	0.5	0.0256794	0.00024598	0.000491959
2	0.5	0.0393146	0.000985545	0.00197109
3	0.5	0.0772219	0.00761338	0.0152268
4	0.5	0.048595	0.00105106	0.00210212
5	0.5	0.0436982	0.000651866	0.00130373
6	0.5	0.0541938	0.000888839	0.00177768
7	0.5	0.0560532	0.000914859	0.00182972
8	0.5	0.0463752	0.000722438	0.00144488
9	0.5	0.0338148	0.000485269	0.000970537
10	0.5	0.0319432	0.000874315	0.00174863
11	0.5	0.0228512	0.000701413	0.00140283
12	0.5	0.0103624	7.71937e-05	0.000154387
13	0.5	0.00766829	4.60732e-05	9.21463e-05
14	0.5	0.0081867	6.86817e-05	0.000137363
15	0.5	0.0250079	0.000317981	0.000635961
16	0.5	0.0214498	0.000203333	0.000406666
17	0.5	0.0232713	0.000247953	0.000495906
18	0.5	0.0334299	0.000609398	0.0012188
19	0.5	0.0329597	0.000453269	0.000906538
20	0.5	0.0442058	0.000711927	0.00142385
21	0.5	0.0888175	0.0027599	0.0055198
22	0.5	0.129363	0.00631945	0.0126389
23	0.5	0.0481499	0.000759702	0.0015194
24	0.5	0.0299226	0.000352009	0.000704018
25	0.5	0.0194529	0.000216538	0.000433077
26	0.5	0.0119827	0.00012213	0.00024426
27	0.5	0.00718735	5.10511e-05	0.000102102
28	0.5	0.00699918	3.91879e-05	7.83758e-05
29	0.5	0.00805594	6.54655e-05	0.000130931
30	0.5	0.0233681	0.000292072	0.000584144
31	0.5	0.0176345	0.000159341	0.000318682
32	0.5	0.0169737	0.000197976	0.000395953
33	0.5	0.0214343	0.00035647	0.000712941
34	0.5	0.0301776	0.000451541	0.000903082
35	0.5	0.0441261	0.000733424	0.00146685
36	0.5	0.0655626	0.00128695	0.0025739
37	0.5	0.0855063	0.00229049	0.00458097
38	0.5	0.0518299	0.000892283	0.00178457
39	0.5	0.0331937	0.000488238	0.000976475
40	0.5	0.0229253	0.000481397	0.000962794
41	0.5	0.0137272	0.000323752	0.000647505
42	0.5	0.00724294	6.33396e-05	0.000126679
43	0.5	0.00641362	3.73147e-05	7.46294e-05
44	0.5	0.00768196	6.1215e-05	0.00012243
45	0.5	0.0234174	0.000286935	0.00057387
46	0.5	0.0199661	0.00017223	0.000344461
47	0.5	0.0232969	0.000293241	0.000586482
48	0.5	0.0298909	0.00052388	0.00104776
49	0.5	0.0339243	0.000506503	0.00101301
50	0.5	0.0373568	0.000514614	0.00102923
51	0.5	0.0558017	0.000969574	0.00193915
52	0.5	0.0699324	0.00152741	0.00305482
53	0.5	0.046544	0.000764539	0.00152908
54	0.5	0.0321555	0.000430831	0.000861661
55	0.5	0.0271537	0.000464921	0.000929843
56	0.5	0.0210756	0.000591552	0.0011831
57	0.5	0.00960971	7.73408e-05	0.000154682
58	0.5	0.00690882	3.72778e-05	7.45556e-05
59	0.5	0.00779836	6.50509e-05	0.000130102
60	0.5	0.0260172	0.000340242	0.000680484
61	0.5	0.0258865	0.000219849	0.000439698
62	0.5	0.0757257	0.00636957	0.0127392
63	0.5	0.141332	0.0309732	0.0619464
64	0.5	0.0770959	0.00352106	0.00704211
65	0.5	0.048552	0.000717238	0.00143448
66	0.5	0.0920991	0.00278168	0.00556336
67	0.5	0.113264	0.00478939	0.00957878
68	0.5	0.0547278	0.000945743	0.00189149
69	0.5	0.0448989	0.000756431	0.00151286
70	0.5	0.0982977	0.0187019	0.0374039
71	0.5	0.0744243	0.0209005	0.041801
72	0.5	0.0244716	0.000962135	0.00192427
73	0.5	0.0100379	5.6351e-05	0.000112702
74	0.5	0.00917935	7.82268e-05	0.000156454
75	0.5	0.0282984	0.000387882	0.000775764
76	0.5	0.0301728	0.000275116	0.000550232
77	0.5	0.0658825	0.0035787	0.0071574
78	0.5	0.125974	0.0220032	0.0440064
79	0.5	0.0645619	0.00195202	0.00390404
80	0.5	0.0486774	0.000698163	0.00139633
81	0.5	0.0571839	0.000943653	0.00188731
82	0.5	0.0603888	0.00104326	0.00208653
83	0.5	0.0487474	0.000809059	0.00161812
84	0.5	0.0387589	0.000492967	0.000985933
85	0.5	0.062443	0.00457992	0.00915984
86	0.5	0.0527012	0.00683619	0.0136724
87	0.5	0.0168192	0.000147551	0.000295102
88	0.5	0.00968542	5.60539e-05	0.000112108
89	0.5	0.00932252	8.61183e-05	0.000172237
90	-3.08386e-08	0.626824	1.74011e-20	-5.64262e-13
91	-4.90125e-09	0.0631999	5.48626e-23	-1.11936e-14
92	-7.95512e-11	0.0011797	1.95807e-28	-2.4614e-18
93	-7.13972e-12	8.13806e-05	9.31128e-32	-1.30415e-20
