WallIDX	TGTConc	PrjFlux	EroFlux_al_by_w	EroFluxPartial_al_by_w
0	0.716323	7.35203e-25	1.13552e-27	1.5852e-27
1	0.727828	2.77553e-25	3.82019e-28	5.24876e-28
2	0.671826	3.03963e-26	3.66839e-28	5.46032e-28
3	0.578708	-1.37995e-25	-5.43024e-27	-9.38339e-27
4	0.683711	1.90929e-26	-2.16965e-30	-3.17334e-30
5	0.698016	-1.79255e-25	-3.19132e-28	-4.57198e-28
6	0.700527	-2.68656e-26	4.06319e-29	5.80019e-29
7	0.698171	-6.90166e-25	-6.53456e-28	-9.35954e-28
8	0.704003	-1.42492e-24	-2.0163e-27	-2.86405e-27
9	0.702003	-2.3141e-24	-2.52666e-27	-3.59921e-27
10	0.668073	-7.8435e-25	-3.5278e-27	-5.28055e-27
11	0.654152	-1.21765e-25	-3.85999e-28	-5.90076e-28
12	0.725726	-1.17425e-25	-1.57193e-28	-2.16601e-28
13	0.755571	-2.59257e-26	-2.12046e-29	-2.80643e-29
14	0.731059	-3.47721e-26	-5.34731e-29	-7.31446e-29
15	0.715968	1.90176e-25	4.28972e-28	5.9915e-28
16	0.732579	4.90409e-26	1.68598e-28	2.30143e-28
17	0.71662	-3.47334e-26	-2.87196e-30	-4.00764e-30
18	0.690434	-1.2785e-25	-6.6411e-29	-9.61873e-29
19	0.697791	2.44632e-26	1.3933e-28	1.99673e-28
20	0.693892	1.74038e-25	-3.92191e-29	-5.65205e-29
21	0.660484	-5.61992e-26	-2.94678e-27	-4.46155e-27
22	0.627662	-1.55844e-23	-1.42759e-25	-2.27446e-25
23	0.698627	-6.66051e-24	-1.38671e-26	-1.9849e-26
24	0.709913	-1.21011e-23	-1.57873e-26	-2.22384e-26
25	0.710528	-2.42505e-24	-6.34083e-27	-8.92411e-27
26	0.694483	-6.37e-25	-2.2472e-27	-3.23579e-27
27	0.718143	-8.83735e-26	-1.77189e-28	-2.46732e-28
28	0.760067	-1.05498e-25	-1.16842e-28	-1.53726e-28
29	0.733207	-1.88133e-25	-2.83692e-28	-3.86919e-28
30	0.716354	-1.2935e-24	-1.73308e-27	-2.41931e-27
31	0.730676	-4.76135e-25	-6.67856e-28	-9.14025e-28
