WallIDX	TGTConc	PrjFlux	EroFlux_w_by_d	EroFluxPartial_w_by_d
0	2.72219e-22	13.9803	1.54231e-45	5.66571e-24
1	1.51697e-23	9.01952	-3.29317e-57	-2.17089e-34
2	-4.55322e-23	6.21475	-7.17438e-56	1.57567e-33
3	3.75491e-21	6.35323	-2.78641e-45	-7.42071e-25
4	2.03298e-21	9.299	2.16696e-45	1.06591e-24
5	1.7829e-22	13.6615	-5.77496e-46	-3.23909e-24
6	-9.43848e-22	16.7597	9.28176e-46	-9.83396e-25
7	-1.83761e-21	17.1124	-7.30023e-45	3.97267e-24
8	4.04883e-22	15.4448	-2.88812e-47	-7.13322e-26
9	-2.26497e-23	10.6219	1.08618e-46	-4.79554e-24
10	3.54258e-23	5.75396	3.35589e-55	9.47302e-33
11	1.72346e-23	3.00571	5.08322e-56	2.94943e-33
12	1.02166e-23	2.98799	4.70068e-58	4.601e-35
13	6.95562e-24	5.30153	3.56283e-59	5.12223e-36
14	3.7184e-24	8.43508	1.8973e-59	5.10247e-36
15	4.4127e-23	13.8464	4.43415e-47	1.00486e-24
16	-3.30241e-23	8.87778	-8.51657e-58	2.5789e-35
17	-7.46616e-23	6.07158	5.57716e-57	-7.46992e-35
18	-1.39065e-22	6.19288	4.39015e-55	-3.1569e-33
19	-1.45252e-24	9.14522	-3.30151e-49	2.27296e-25
20	-5.6327e-21	13.5176	-1.90246e-45	3.37754e-25
21	6.59471e-21	16.6654	1.41233e-43	2.14162e-23
22	6.86587e-21	17.0426	-6.51415e-43	-9.48773e-23
23	2.34106e-22	15.3143	-2.67794e-45	-1.1439e-23
24	-2.71957e-21	10.4793	3.42149e-43	-1.2581e-22
25	1.68966e-23	5.62681	9.74179e-56	5.76552e-33
26	-3.54806e-24	2.87192	-1.42229e-57	4.00862e-34
27	-3.35234e-24	2.849	-1.04372e-58	3.1134e-35
28	-1.19274e-24	5.15974	-2.91246e-59	2.44182e-35
29	4.48349e-24	8.31091	3.23208e-58	7.20885e-35
30	-4.99472e-22	13.9009	6.63971e-45	-1.32934e-23
31	2.56333e-23	8.88477	-1.04927e-57	-4.0934e-35
32	3.80082e-23	6.08309	-3.34538e-57	-8.80173e-35
33	-4.62594e-22	6.21177	3.91188e-45	-8.4564e-24
34	1.04331e-22	9.16065	-2.45773e-46	-2.3557e-24
35	-2.27119e-21	13.5226	-1.75142e-44	7.71146e-24
36	-2.76342e-21	16.6724	-3.08775e-45	1.11737e-24
37	5.31334e-22	17.0544	-1.1613e-44	-2.18562e-23
38	-9.2142e-22	15.3251	2.73576e-45	-2.96907e-24
39	-1.00705e-23	10.4866	6.11652e-47	-6.07372e-24
40	3.48622e-21	5.62829	4.3035e-43	1.23443e-22
41	-8.28591e-23	2.88747	-1.39434e-54	1.68279e-32
42	-1.19664e-23	2.86339	-3.06473e-57	2.56112e-34
43	-4.92406e-24	5.16145	-1.93068e-58	3.92091e-35
44	-6.3486e-25	8.33536	-3.07091e-59	4.83715e-35
45	-3.40897e-22	13.9549	-7.72234e-46	2.2653e-24
46	5.13242e-23	9.02781	4.24615e-57	8.2732e-35
47	6.62196e-23	6.2166	1.00987e-55	1.52503e-33
48	1.14047e-22	6.36544	4.42584e-46	3.88071e-24
49	9.2064e-23	9.30881	5.78971e-46	6.28879e-24
50	3.14827e-22	13.6674	1.26899e-46	4.03077e-25
51	-1.55253e-21	16.7541	-2.8047e-45	1.80654e-24
52	-1.13747e-20	17.106	2.70765e-43	-2.38042e-23
53	-1.898e-21	15.4637	-1.70868e-44	9.0025e-24
54	1.896e-23	10.6587	8.93418e-46	4.71213e-23
55	1.0164e-23	5.7596	2.07848e-56	2.04494e-33
56	7.74346e-23	3.01469	2.59316e-54	3.34884e-32
57	2.47359e-23	3.00184	2.93315e-57	1.18579e-34
58	5.04883e-24	5.32994	-8.42293e-59	-1.6683e-35
59	4.8586e-24	8.45283	-9.94803e-72	-2.04751e-48
60	-1.37492e-22	13.7351	6.3253e-46	-4.60048e-24
61	1.18423e-22	8.72894	2.23062e-56	1.88361e-34
62	-3.06486e-21	5.9071	-3.57102e-45	1.16515e-24
63	2.96535e-22	6.02396	8.41793e-46	2.83876e-24
64	9.95758e-22	9.00792	5.0138e-45	5.03515e-24
65	3.02098e-22	13.3722	1.05934e-46	3.50661e-25
66	-6.68185e-22	16.5507	1.35636e-45	-2.02991e-24
67	-2.1796e-21	16.9798	-1.09979e-44	5.04583e-24
68	5.15646e-22	15.0854	8.7803e-47	1.70278e-25
69	1.61781e-22	10.2214	-1.67712e-46	-1.03666e-24
70	4.38003e-22	5.4742	-1.39963e-45	-3.19549e-24
71	-8.55051e-21	2.76489	3.91518e-43	-4.57889e-23
72	2.87931e-22	2.71832	1.22867e-53	4.26724e-32
73	5.13005e-23	5.02115	1.76795e-57	3.44627e-35
74	3.20454e-23	8.19662	-1.23626e-70	-3.85783e-48
75	2.81842e-22	13.8928	1.62498e-45	5.76556e-24
76	1.33765e-22	8.89351	6.70572e-57	5.01307e-35
77	-2.3604e-21	6.0081	4.27783e-45	-1.81234e-24
78	-3.13244e-24	6.08708	3.092e-48	-9.87088e-25
79	-6.49551e-23	9.02714	-6.18068e-49	9.51532e-27
80	5.86789e-22	13.3826	-4.75641e-47	-8.10582e-26
81	3.52565e-22	16.6333	2.55741e-45	7.25373e-24
82	6.58186e-23	17.0166	5.79133e-48	8.79892e-26
83	9.11866e-22	15.1867	-1.3963e-44	-1.53125e-23
84	-2.51781e-23	10.3578	2.5524e-46	-1.01374e-23
85	-6.74299e-22	5.5398	-6.01424e-45	8.91924e-24
86	2.79199e-22	2.78787	2.95277e-52	1.05759e-30
87	1.08997e-22	2.74088	-1.81189e-56	-1.66234e-34
88	4.24698e-23	5.05747	3.27126e-70	7.70256e-48
89	2.51833e-23	8.23544	6.10593e-71	2.4246e-48
90	0.824996	1682.85	-1.35337e-22	-1.64046e-22
91	0.733935	53.2958	1.35066e-24	1.84031e-24
92	0.81526	1.18757	3.16131e-25	3.87767e-25
93	0.982029	1.18757	3.85641e-27	3.92699e-27
