WallIDX	d
0	13.9803
1	9.01952
2	6.21475
3	6.35323
4	9.299
5	13.6615
6	16.7597
7	17.1124
8	15.4448
9	10.6219
10	5.75396
11	3.00571
12	2.98799
13	5.30153
14	8.43508
15	13.8464
16	8.87778
17	6.07158
18	6.19288
19	9.14522
20	13.5176
21	16.6654
22	17.0426
23	15.3143
24	10.4793
25	5.62681
26	2.87192
27	2.849
28	5.15974
29	8.31091
30	13.9009
31	8.88477
32	6.08309
33	6.21177
34	9.16065
35	13.5226
36	16.6724
37	17.0544
38	15.3251
39	10.4866
40	5.62829
41	2.88747
42	2.86339
43	5.16145
44	8.33536
45	13.9549
46	9.02781
47	6.2166
48	6.36544
49	9.30881
50	13.6674
51	16.7541
52	17.106
53	15.4637
54	10.6587
55	5.7596
56	3.01469
57	3.00184
58	5.32994
59	8.45283
60	13.7351
61	8.72894
62	5.9071
63	6.02396
64	9.00792
65	13.3722
66	16.5507
67	16.9798
68	15.0854
69	10.2214
70	5.4742
71	2.76489
72	2.71832
73	5.02115
74	8.19662
75	13.8928
76	8.89351
77	6.0081
78	6.08708
79	9.02714
80	13.3826
81	16.6333
82	17.0166
83	15.1867
84	10.3578
85	5.5398
86	2.78787
87	2.74088
88	5.05747
89	8.23544
90	1682.85
91	53.2958
92	1.18757
93	1.18757
