WallIDX	Charge	d
0	0	0
0	1	13.9803
1	0	0
1	1	9.01952
2	0	0
2	1	6.21475
3	0	0
3	1	6.35323
4	0	0
4	1	9.299
5	0	0
5	1	13.6615
6	0	0
6	1	16.7597
7	0	0
7	1	17.1124
8	0	0
8	1	15.4448
9	0	0
9	1	10.6219
10	0	0
10	1	5.75396
11	0	0
11	1	3.00571
12	0	0
12	1	2.98799
13	0	0
13	1	5.30153
14	0	0
14	1	8.43508
15	0	0
15	1	13.8464
16	0	0
16	1	8.87778
17	0	0
17	1	6.07158
18	0	0
18	1	6.19288
19	0	0
19	1	9.14522
20	0	0
20	1	13.5176
21	0	0
21	1	16.6654
22	0	0
22	1	17.0426
23	0	0
23	1	15.3143
24	0	0
24	1	10.4793
25	0	0
25	1	5.62681
26	0	0
26	1	2.87192
27	0	0
27	1	2.849
28	0	0
28	1	5.15974
29	0	0
29	1	8.31091
30	0	0
30	1	13.9009
31	0	0
31	1	8.88477
32	0	0
32	1	6.08309
33	0	0
33	1	6.21177
34	0	0
34	1	9.16065
35	0	0
35	1	13.5226
36	0	0
36	1	16.6724
37	0	0
37	1	17.0544
38	0	0
38	1	15.3251
39	0	0
39	1	10.4866
40	0	0
40	1	5.62829
41	0	0
41	1	2.88747
42	0	0
42	1	2.86339
43	0	0
43	1	5.16145
44	0	0
44	1	8.33536
45	0	0
45	1	13.9549
46	0	0
46	1	9.02781
47	0	0
47	1	6.2166
48	0	0
48	1	6.36544
49	0	0
49	1	9.30881
50	0	0
50	1	13.6674
51	0	0
51	1	16.7541
52	0	0
52	1	17.106
53	0	0
53	1	15.4637
54	0	0
54	1	10.6587
55	0	0
55	1	5.7596
56	0	0
56	1	3.01469
57	0	0
57	1	3.00184
58	0	0
58	1	5.32994
59	0	0
59	1	8.45283
60	0	0
60	1	13.7351
61	0	0
61	1	8.72894
62	0	0
62	1	5.9071
63	0	0
63	1	6.02396
64	0	0
64	1	9.00792
65	0	0
65	1	13.3722
66	0	0
66	1	16.5507
67	0	0
67	1	16.9798
68	0	0
68	1	15.0854
69	0	0
69	1	10.2214
70	0	0
70	1	5.4742
71	0	0
71	1	2.76489
72	0	0
72	1	2.71832
73	0	0
73	1	5.02115
74	0	0
74	1	8.19662
75	0	0
75	1	13.8928
76	0	0
76	1	8.89351
77	0	0
77	1	6.0081
78	0	0
78	1	6.08708
79	0	0
79	1	9.02714
80	0	0
80	1	13.3826
81	0	0
81	1	16.6333
82	0	0
82	1	17.0166
83	0	0
83	1	15.1867
84	0	0
84	1	10.3578
85	0	0
85	1	5.5398
86	0	0
86	1	2.78787
87	0	0
87	1	2.74088
88	0	0
88	1	5.05747
89	0	0
89	1	8.23544
90	0	0
90	1	1682.85
91	0	0
91	1	53.2958
92	0	0
92	1	1.18757
93	0	0
93	1	1.18757
