WallIDX	al	n	w
0	0.0696707	-0.0696707	0
1	0.0277951	-0.0277951	0
2	0.0395863	-0.0395863	0
3	0.0492977	-0.0492977	0
4	0.0582443	-0.0582443	0
5	0.0616736	-0.0616736	0
6	0.0892361	-0.0892361	0
7	0.0900106	-0.0900106	0
8	0.0819641	-0.0819641	0
9	0.0448994	-0.0448994	0
10	0.0370425	-0.0370425	0
11	0.0185261	-0.0185261	0
12	0.00470235	-0.00470235	0
13	0.0119878	-0.0119878	0
14	0.0299121	-0.0299121	0
15	0.067582	-0.067582	0
16	0.0276686	-0.0276686	0
17	0.0171232	-0.0171232	0
18	0.030169	-0.030169	0
19	0.0351459	-0.0351459	0
20	0.067395	-0.067395	0
21	0.119472	-0.119472	0
22	0.131132	-0.131132	0
23	0.0809143	-0.0809143	0
24	0.0387852	-0.0387852	0
25	0.0155292	-0.0155292	0
26	0.00405175	-0.00405175	0
27	0.0032216	-0.0032216	0
28	0.0113486	-0.0113486	0
29	0.0292529	-0.0292529	0
30	0.0686292	-0.0686292	0
31	0.0287845	-0.0287845	0
32	0.0179043	-0.0179043	0
33	0.027595	-0.027595	0
34	0.0426049	-0.0426049	0
35	0.0726395	-0.0726395	0
36	0.104024	-0.104024	0
37	0.11346	-0.11346	0
38	0.0843996	-0.0843996	0
39	0.0471373	-0.0471373	0
40	0.0346964	-0.0346964	0
41	0.0164728	-0.0164728	0
42	0.0056896	-0.0056896	0
43	0.011767	-0.011767	0
44	0.0295816	-0.0295816	0
45	0.0691219	-0.0691219	0
46	0.0293659	-0.0293659	0
47	0.0217625	-0.0217625	0
48	0.0330575	-0.0330575	0
49	0.0432534	-0.0432534	0
50	0.0607373	-0.0607373	0
51	0.0965758	-0.0965758	0
52	0.11692	-0.11692	0
53	0.0831534	-0.0831534	0
54	0.044118	-0.044118	0
55	0.0298369	-0.0298369	0
56	0.017714	-0.017714	0
57	0.00552514	-0.00552514	0
58	0.0117861	-0.0117861	0
59	0.030078	-0.030078	0
60	0.0663026	-0.0663026	0
61	0.0253951	-0.0253951	0
62	0.0449296	-0.0449296	0
63	0.0468548	-0.0468548	0
64	0.0659996	-0.0659996	0
65	0.0629926	-0.0629926	0
66	0.119471	-0.119471	0
67	0.12577	-0.12577	0
68	0.0824798	-0.0824798	0
69	0.0531571	-0.0531571	0
70	0.0381	-0.0381	0
71	0.0164877	-0.0164877	0
72	0.0196874	-0.0196874	0
73	0.0109257	-0.0109257	0
74	0.0282651	-0.0282651	0
75	0.0683326	-0.0683326	0
76	0.0277894	-0.0277894	0
77	0.0423024	-0.0423024	0
78	0.0387735	-0.0387735	0
79	0.0593048	-0.0593048	0
80	0.0598318	-0.0598318	0
81	0.0863541	-0.0863541	0
82	0.0907777	-0.0907777	0
83	0.0796468	-0.0796468	0
84	0.0403335	-0.0403335	0
85	0.0429843	-0.0429843	0
86	0.0184915	-0.0184915	0
87	0.0044963	-0.0044963	0
88	0.0106307	-0.0106307	0
89	0.0290271	-0.0290271	0
90	0.303198	1.10609	-1.40929
91	0.0300649	0.106797	-0.136862
92	0.000572156	0.00164229	-0.00221444
93	4.05563e-05	0.000113287	-0.000153843
