WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.000	0.000	1.000	0	0
93	0.000	7.912	0.000	0.000	1.000	0	0
90	0.000	8.844	0.000	0.000	1.000	0	0
91	0.000	10.018	0.000	0.000	1.000	0	0
92	0.000	31.648	0.000	0.000	1.000	0	0
93	0.000	31.648	0.000	0.000	1.000	0	0
90	0.000	35.379	0.000	0.000	1.000	0	0
91	0.000	40.069	0.000	0.000	1.000	0	0
72	45.000	9.352	0.500	0.500	0.000	0.00131276	0.00131276
87	45.000	9.366	0.500	0.500	0.000	0.00131461	0.00131461
71	45.000	9.380	0.500	0.500	0.000	0.00131661	0.00131661
86	45.000	9.392	0.500	0.500	0.000	0.00131847	0.00131847
27	45.000	9.428	0.500	0.500	0.000	0.00132334	0.00132334
42	45.000	9.436	0.500	0.500	0.000	0.00132455	0.00132455
26	45.000	9.440	0.500	0.500	0.000	0.00132524	0.00132524
41	45.000	9.450	0.500	0.500	0.000	0.00132654	0.00132654
12	45.000	9.508	0.500	0.500	0.000	0.00133464	0.00133464
57	45.000	9.516	0.500	0.500	0.000	0.00133573	0.00133573
11	45.000	9.518	0.500	0.500	0.000	0.00133608	0.00133608
56	45.000	9.522	0.500	0.500	0.000	0.00133679	0.00133679
73	45.000	10.662	0.500	0.500	0.000	0.00149659	0.00149659
88	45.000	10.680	0.500	0.500	0.000	0.00149928	0.00149928
28	45.000	10.734	0.500	0.500	0.000	0.00150683	0.00150683
43	45.000	10.736	0.500	0.500	0.000	0.00150699	0.00150699
13	45.000	10.810	0.500	0.500	0.000	0.00151735	0.00151735
58	45.000	10.824	0.500	0.500	0.000	0.0015194	0.0015194
70	45.000	10.908	0.500	0.500	0.000	0.00153131	0.00153131
85	45.000	10.944	0.500	0.500	0.000	0.00153618	0.00153618
25	45.000	10.988	0.500	0.500	0.000	0.00154246	0.00154246
40	45.000	10.988	0.500	0.500	0.000	0.00154256	0.00154256
10	45.000	11.054	0.500	0.500	0.000	0.00155171	0.00155171
55	45.000	11.058	0.500	0.500	0.000	0.00155213	0.00155213
62	45.000	11.152	0.500	0.500	0.000	0.00156558	0.00156558
77	45.000	11.204	0.500	0.500	0.000	0.00157287	0.00157287
63	45.000	11.214	0.500	0.500	0.000	0.00157425	0.00157425
17	45.000	11.236	0.500	0.500	0.000	0.00157738	0.00157738
32	45.000	11.244	0.500	0.500	0.000	0.00157824	0.00157824
78	45.000	11.248	0.500	0.500	0.000	0.00157886	0.00157886
18	45.000	11.302	0.500	0.500	0.000	0.00158639	0.00158639
2	45.000	11.310	0.500	0.500	0.000	0.00158768	0.00158768
33	45.000	11.310	0.500	0.500	0.000	0.00158778	0.00158778
47	45.000	11.312	0.500	0.500	0.000	0.00158779	0.00158779
3	45.000	11.384	0.500	0.500	0.000	0.0015979	0.0015979
48	45.000	11.390	0.500	0.500	0.000	0.00159874	0.00159874
74	45.000	12.342	0.500	0.500	0.000	0.00173242	0.00173242
89	45.000	12.360	0.500	0.500	0.000	0.00173505	0.00173505
29	45.000	12.396	0.500	0.500	0.000	0.00174012	0.00174012
44	45.000	12.408	0.500	0.500	0.000	0.00174179	0.00174179
14	45.000	12.454	0.500	0.500	0.000	0.0017482	0.0017482
59	45.000	12.462	0.500	0.500	0.000	0.00174936	0.00174936
61	45.000	12.614	0.500	0.500	0.000	0.00177076	0.00177076
16	45.000	12.684	0.500	0.500	0.000	0.00178058	0.00178058
31	45.000	12.688	0.500	0.500	0.000	0.00178103	0.00178103
76	45.000	12.694	0.500	0.500	0.000	0.00178192	0.00178192
1	45.000	12.752	0.500	0.500	0.000	0.00178999	0.00178999
64	45.000	12.752	0.500	0.500	0.000	0.00179019	0.00179019
46	45.000	12.756	0.500	0.500	0.000	0.00179057	0.00179057
79	45.000	12.762	0.500	0.500	0.000	0.00179145	0.00179145
19	45.000	12.818	0.500	0.500	0.000	0.00179928	0.00179928
34	45.000	12.826	0.500	0.500	0.000	0.00180033	0.00180033
4	45.000	12.890	0.500	0.500	0.000	0.0018095	0.0018095
49	45.000	12.894	0.500	0.500	0.000	0.00181011	0.00181011
69	45.000	13.352	0.500	0.500	0.000	0.00187431	0.00187431
84	45.000	13.418	0.500	0.500	0.000	0.00188346	0.00188346
24	45.000	13.474	0.500	0.500	0.000	0.0018913	0.0018913
39	45.000	13.476	0.500	0.500	0.000	0.00189174	0.00189174
9	45.000	13.538	0.500	0.500	0.000	0.00190044	0.00190044
54	45.000	13.556	0.500	0.500	0.000	0.00190286	0.00190286
65	45.000	14.876	0.500	0.500	0.000	0.00208835	0.00208835
80	45.000	14.880	0.500	0.500	0.000	0.00208888	0.00208888
20	45.000	14.940	0.500	0.500	0.000	0.00209718	0.00209718
35	45.000	14.942	0.500	0.500	0.000	0.00209744	0.00209744
5	45.000	15.002	0.500	0.500	0.000	0.00210589	0.00210589
50	45.000	15.004	0.500	0.500	0.000	0.00210631	0.00210631
60	45.000	15.046	0.500	0.500	0.000	0.00211196	0.00211196
15	45.000	15.090	0.500	0.500	0.000	0.00211835	0.00211835
30	45.000	15.114	0.500	0.500	0.000	0.00212171	0.00212171
75	45.000	15.116	0.500	0.500	0.000	0.00212194	0.00212194
45	45.000	15.132	0.500	0.500	0.000	0.00212421	0.00212421
0	45.000	15.144	0.500	0.500	0.000	0.00212588	0.00212588
68	45.000	15.678	0.500	0.500	0.000	0.00220068	0.00220068
83	45.000	15.722	0.500	0.500	0.000	0.00220706	0.00220706
23	45.000	15.774	0.500	0.500	0.000	0.00221417	0.00221417
38	45.000	15.778	0.500	0.500	0.000	0.00221471	0.00221471
8	45.000	15.824	0.500	0.500	0.000	0.00222116	0.00222116
53	45.000	15.832	0.500	0.500	0.000	0.0022223	0.0022223
66	45.000	16.286	0.500	0.500	0.000	0.00228614	0.00228614
81	45.000	16.302	0.500	0.500	0.000	0.00228832	0.00228832
21	45.000	16.306	0.500	0.500	0.000	0.00228903	0.00228903
36	45.000	16.308	0.500	0.500	0.000	0.00228926	0.00228926
51	45.000	16.322	0.500	0.500	0.000	0.00229108	0.00229108
6	45.000	16.324	0.500	0.500	0.000	0.00229137	0.00229137
